key_resp.keys,key_resp.corr,tilt,,hit,cr,miss,fa,,,,,
down,0,0,,,,1,,,,,,
up,0,-5,,,,,1,,,,,
up,0,-3,,,,,1,,,,,
down,0,0,,,,1,,,,,,
down,0,0,,,,1,,,,,,
down,0,0,,,,1,,,,,Respond YES,Respond NO
up,0,-2,,,,,1,,,Signal Present,Hit,Miss
up,0,-4,,,,,1,,,Signal Absent,False Alarm,Correct rejection
up,0,1,,,,,1,,,,,
up,0,2,,,,,1,,,,,
up,0,-3,,,,,1,,,,Respond YES,Respond NO
down,0,0,,,,1,,,,Signal Present,39,10
down,0,0,,,,1,,,,Signal Absent,14,36
up,0,4,,,,,1,,,,,
up,0,2,,,,,1,,,,,
up,0,1,,,,,1,,,prop hit = hit/hit+miss,0.795918367,
up,0,2,,,,,1,,,prop fa = fa/fa+corr rejection,0.28,
down,0,0,,,,1,,,,,,
up,0,2,,,,,1,,,,,
down,0,0,,,,1,,,,d' = z(prop hit) - z(prop fa),1.409971713,
down,0,0,,,,1,,,,c = -z(prop hit) + z(prop fa)/2,-1.118550959,
up,0,-3,,,,,1,,,,,
up,0,-2,,,,,1,,,,,
down,0,0,,,,1,,,,,,
down,1,-2,,,1,,,,,,,
down,1,2,,,1,,,,,,,
down,1,1,,,1,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,1,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,1,,,1,,,,,,,
down,1,4,,,1,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,3,,,,,,,,,,
down,1,2,,,1,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,2,,,1,,,,,,,
down,1,4,,,1,,,,,,,
down,1,-5,,,1,,,,,,,
down,1,-5,,,1,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,1,,,1,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-4,,,1,,,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,1,,,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,1,,,,,,,
up,1,0,,1,,,,,,,,
down,1,3,,,1,,,,,,,
down,1,4,,,1,,,,,,,
down,1,3,,,1,,,,,,,
down,1,4,,,1,,,,,,,
down,1,-5,,,1,,,,,,,
down,1,-5,,,1,,,,,,,
down,1,-3,,,1,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,2,,,1,,,,,,,
down,1,3,,,1,,,,,,,
down,1,-3,,,1,,,,,,,
down,1,-4,,,1,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,1,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-2,,,1,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-5,,,1,,,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,1,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,3,,,1,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,3,,,1,,,,,,,
down,1,4,,,1,,,,,,,
down,1,-4,,,1,,,,,,,
down,1,-4,,,1,,,,,,,
down,1,1,,,1,,,,,,,
up,1,0,,1,,,,,,,,
